event_time,order_id,product_id,category_id,category_code,brand,price,user_id
2020-04-30 13:55:36 UTC,2298771479107469405,1515966223509105055,2268105408772046856,electronics.tablet,wacom,150.44,1515915625450633878
2020-04-30 13:55:44 UTC,2298771543724916836,1515966223509090213,2268105440220938934,appliances.kitchen.grill,delonghi,157.38,1515915625452696230
2020-04-30 13:56:11 UTC,2298771772935241845,1515966223509336177,2268105427260539298,,ava,0.23,1515915625451702134
2020-04-30 13:56:38 UTC,2298772001994571927,2273948227327754498,2268105426983715228,construction.tools.screw,apple,24.98,1515915625452768633
2020-04-30 13:56:51 UTC,2298772107514871967,1515966223509088622,2374498914000592280,electronics.video.tv,lg,370.35,1515915625452757877
2020-04-30 13:57:36 UTC,2298772487720140990,1515966223509335414,2268105430162997728,electronics.audio.headphone,razer,104.14,1515915625452727322
2020-04-30 13:58:14 UTC,2298772801890287837,2273948236169347959,2268105442242593506,,akvafor,10.86,1515915625452749624
2020-04-30 13:58:56 UTC,2298773155738550529,1515966223509130879,2268105389956399770,appliances.kitchen.washer,samsung,381.92,1515915625451625447
2020-04-30 13:58:56 UTC,2298773155738550529,2273948308663698150,2374498914000592280,electronics.video.tv,samsung,416.64,1515915625451625447
2020-04-30 13:58:56 UTC,2298773155738550529,1515966223509105920,2268105388555502202,appliances.kitchen.oven,gorenje,340.25,1515915625451625447
2020-04-30 13:58:56 UTC,2298773155738550529,1515966223509283055,2268105389327254156,appliances.kitchen.hood,gorenje,324.05,1515915625451625447
2020-04-30 14:00:37 UTC,2298773999682847050,2273948222336532851,2268105426648170900,electronics.tablet,samsung,56.69,1515915625452749162
2020-04-30 14:00:37 UTC,2298773999682847050,1515966223509342140,2268105408679772166,computers.components.hdd,portcase,6.92,1515915625452749162
2020-04-30 14:00:41 UTC,2298774038052340045,1515966223509090014,2268105430162997728,electronics.audio.headphone,bloody,34.70,1515915625444377433
2020-04-30 14:00:59 UTC,2298774187285676378,2273948227747185441,2268105439407243942,,neo,78.68,1515915625441969861
2020-04-30 14:01:39 UTC,2298774519591993719,1515966223509090139,2268105428166508982,electronics.smartphone,samsung,138.63,1515915625442559816
2020-04-30 14:01:48 UTC,2298774599761920380,2273948311742316798,2268105393848713950,appliances.kitchen.refrigerators,lg,671.27,1515915625451625447
2020-04-30 14:02:53 UTC,2298775143394050482,1515966223509117349,2268105402447037312,appliances.personal.scales,scarlett,18.50,1515915625449460010
2020-04-30 14:03:33 UTC,2298775476774109649,1515966223509089076,2268105428166508982,electronics.smartphone,samsung,161.78,1515915625451412640
2020-04-30 14:04:52 UTC,2298776138928882177,1515966223509089263,2268105403822769052,,philips,32.38,1515915625452772647
2020-04-30 14:05:44 UTC,2298776580396155429,2273948222336532857,2268105408679772166,computers.components.hdd,portcase,1.16,1515915625442477010
2020-04-30 14:05:44 UTC,2298776580396155429,2273948222336532859,2268105408679772166,computers.components.hdd,portcase,1.16,1515915625442477010
2020-04-30 14:05:44 UTC,2298776580396155429,2273948222948901603,2268105408679772166,computers.components.hdd,portcase,1.16,1515915625442477010
2020-04-30 14:05:44 UTC,2298776580396155429,1515966223510235373,2268105408679772166,computers.components.hdd,portcase,1.16,1515915625442477010
2020-04-30 14:05:44 UTC,2298776580396155429,1515966223510393689,2268105408679772166,computers.components.hdd,portcase,1.16,1515915625442477010
2020-04-30 14:05:44 UTC,2298776580396155429,1515966223509342140,2268105408679772166,computers.components.hdd,portcase,6.92,1515915625442477010
2020-04-30 14:06:36 UTC,2298777015773299273,1515966223509336121,2268105408293897214,stationery.cartrige,epson,5.30,1515915625452769588
2020-04-30 14:06:36 UTC,2298777015773299273,2273948227680076459,2268105406356128718,computers.peripherals.keyboard,,39.33,1515915625452769588
2020-04-30 14:08:55 UTC,2298778177972994740,1515966223509088521,2268105428166508982,electronics.smartphone,samsung,115.72,1515915625452769935
2020-04-30 14:11:12 UTC,2298779329837925130,1515966223509089034,2268105389956399770,appliances.kitchen.washer,lg,324.05,1515915625452553492
2020-04-30 14:11:47 UTC,2298779619957932844,1515966223509089627,2268105392632365766,appliances.environment.fan,polaris,37.01,1515915625450664447
2020-04-30 14:13:38 UTC,2298780553492562830,1515966223509116152,2268105442846573294,furniture.kitchen.chair,ava,37.01,1515915625446716159
2020-04-30 14:14:32 UTC,2298781007693743039,1515966223509088640,2268105428166508982,electronics.smartphone,samsung,995.35,1515915625450914031
2020-04-30 14:20:03 UTC,2298783780799774928,1515966223509129466,2268105404485469096,medicine.tools.tonometer,panasonic,92.57,1515915625441086642
2020-04-30 14:26:18 UTC,2298786932349469180,1515966223509089612,2268105409048870926,computers.network.router,tp-link,69.42,1515915625452767104
2020-04-30 14:26:45 UTC,2298787156837007884,1515966223510421100,2268105427075989918,,borasco,0.23,1515915625449986580
2020-04-30 14:26:45 UTC,2298787156837007884,2273948222948901603,2268105408679772166,computers.components.hdd,portcase,1.16,1515915625449986580
2020-04-30 14:26:45 UTC,2298787156837007884,2273948222336532857,2268105408679772166,computers.components.hdd,portcase,1.16,1515915625449986580
2020-04-30 14:26:45 UTC,2298787156837007884,1515966223509629211,2268105408679772166,computers.components.hdd,portcase,1.16,1515915625449986580
